,attributes,credits,crn,levels,meeting_days,meeting_instructors,meeting_place,meeting_sched_type,meeting_time,meeting_type,number,section,subject,title
100,Upper Division|Variable Title,3.000,24362,Graduate|Professional|Undergraduate,,Tyler N Tallman,,Individual Study,,Class,AAE 49700,005,AAE,Nanocomposite Charge Carriers
101,Upper Division|Variable Title,2.000,24419,Graduate|Professional|Undergraduate,,David Allen Spencer,,Individual Study,,Class,AAE 49700,006,AAE,Aerodynamic Deorbit Experiment
102,Upper Division|Variable Title,3.000,24535,Graduate|Professional|Undergraduate,,Carolin E Frueh,,Individual Study,,Class,AAE 49700,007,AAE,Satellite Catalog Correlation
103,Upper Division|Variable Title,2.000,24540,Graduate|Professional|Undergraduate,,James Michael Goppert,,Individual Study,,Class,AAE 49700,008,AAE,Spacecraft Control & Sim
104,Upper Division|Variable Title,3.000,24683,Graduate|Professional|Undergraduate,,Tom I-P Shih,,Individual Study,,Class,AAE 49700,009,AAE,SWBLI Active/Passive Control
105,Upper Division|Variable Title,1.000,24690,Graduate|Professional|Undergraduate,,David Allen Spencer,,Individual Study,,Class,AAE 49700,010,AAE,Aerodymamic Drag Experiment
106,Upper Division|Variable Title,3.000,24724,Graduate|Professional|Undergraduate,,Dengfeng Sun,,Individual Study,,Class,AAE 49700,011,AAE,Urban Air Traffic Management
107,Upper Division|Variable Title,2.000,24742,Graduate|Professional|Undergraduate,,Sally Pm Bane,,Individual Study,,Class,AAE 49700,012,AAE,Droplet Combustion
108,Upper Division|Variable Title,3.000,24785,Graduate|Professional|Undergraduate,,Carson Daniel Slabaugh,,Individual Study,,Class,AAE 49700,013,AAE,Solid Fuel Ramjets
109,Upper Division|Variable Title,3.000,24792,Graduate|Professional|Undergraduate,,Alexey Shashurin,,Individual Study,,Class,AAE 49700,014,AAE,Fundmtls Of Plasma Experiment
110,Upper Division|Variable Title,3.000,24804,Graduate|Professional|Undergraduate,,Carson Daniel Slabaugh,,Individual Study,,Class,AAE 49700,015,AAE,Detonations
111,Upper Division|Variable Title,3.000,24857,Graduate|Professional|Undergraduate,,David Allen Spencer,,Individual Study,,Class,AAE 49700,016,AAE,Aerodynamic Deorbit Experiment
112,Upper Division|Variable Title,2.000,24889,Graduate|Professional|Undergraduate,,Michael D Sangid,,Individual Study,,Class,AAE 49700,017,AAE,Integrating Model Definitions
113,Upper Division|Variable Title,3.000,24907,Graduate|Professional|Undergraduate,,Vikas Tomar,,Individual Study,,Class,AAE 49700,018,AAE,Visualizing Meteor Impact
114,Upper Division,3.000,19968,Graduate|Professional|Undergraduate,,James M Longuski,,Distance Learning,,Class,AAE 50700,EPE,AAE,Principles Of Dynamics
115,Upper Division,3.000,19967,Graduate|Professional|Undergraduate,MWF,James M Longuski,Forney Hall of Chemical Engr B124,Lecture,12:30 pm - 1:20 pm,Class,AAE 50700,FNY,AAE,Principles Of Dynamics
116,Upper Division,3.000,10078,Graduate|Professional|Undergraduate,MWF,Jonathan Poggie,Mechanical Engineering Bldg 1009,Lecture,8:30 am - 9:20 am,Class,AAE 51100,001,AAE,Introduction To Fluid Mechanics
117,Upper Division,3.000,17053,Graduate|Professional|Undergraduate,MWF,Steven H Collicott,Neil Armstrong Hall of Engr 3115,Lecture,12:30 pm - 1:20 pm,Class,AAE 51800,001,AAE,Low-Gravity Fluid Dynamics
118,Upper Division,3.000,13422,Graduate|Professional|Undergraduate,MWF,Steven P Schneider,Neil Armstrong Hall of Engr B071,Lecture,2:30 pm - 3:20 pm,Class,AAE 51900,001,AAE,Hypersonic Aerothermodynamics
119,Upper Division,3.000,18515,Graduate|Professional|Undergraduate,MWF,Kathleen Howell,Neil Armstrong Hall of Engr B071,Lecture,11:30 am - 12:20 pm,Class,AAE 53200,001,AAE,Orbit Mechanics
120,Upper Division,3.000,19974,Graduate|Professional|Undergraduate,,Stephen D Heister,,Distance Learning,,Class,AAE 53700,EPE,AAE,Hypersonic Propulsion
121,Upper Division,3.000,19969,Graduate|Professional|Undergraduate,MW,Stephen D Heister,Seng-Liang Wang Hall 2555,Lecture,4:30 pm - 5:45 pm,Class,AAE 53700,WNG,AAE,Hypersonic Propulsion
122,Upper Division,3.000,15657,Graduate|Professional|Undergraduate,TR,Guillermo Paniagua Perez,Neil Armstrong Hall of Engr B071,Lecture,10:30 am - 11:45 am,Class,AAE 53800,001,AAE,Air Breathing Propulsion
123,Upper Division,3.000,10081,Graduate|Professional|Undergraduate,TR,James Francis Doyle,Neil Armstrong Hall of Engr 3115,Lecture,12:00 pm - 1:15 pm,Class,AAE 54600,001,AAE,Aerospace Structural Dynamics And Stability
124,Upper Division,3.000,13285,Graduate|Indiana College Network|Professional|Undergraduate,,William A Crossley,,Distance Learning,,Class,AAE 55000,EPE,AAE,Multidisciplinary Design Optimization
125,Upper Division,3.000,10082,Graduate|Indiana College Network|Professional|Undergraduate,,William A Crossley,,Distance Learning,,Class,AAE 55000,ONC,AAE,Multidisciplinary Design Optimization
126,Upper Division,3.000,16655,Graduate|Professional|Undergraduate,,Tyler N Tallman,,Distance Learning,,Class,AAE 55300,EPE,AAE,Elasticity In Aerospace Engineering
