,attributes,credits,crn,levels,meeting_days,meeting_instructors,meeting_place,meeting_sched_type,meeting_time,meeting_type,number,section,subject,title
13991,Upper Division,3.000,72129,Graduate|Professional|Undergraduate,,Amanda Jo Simmons,,Lecture,,Class,OLS 34600,03T,OLS,Critical Thinking And Ethics
13992,Credit By Exam|Upper Division,3.000,16796,Graduate|Professional|Undergraduate,MWF,Paul A Asunda,Krannert Building G002,Lecture,8:30 am - 9:20 am,Class,OLS 37500,001,OLS,Training Methods
13993,Dept Credit|Upper Division,3.000,16801,Graduate|Professional|Undergraduate,MWF,Beverly Jean Davis,Krannert Building G002,Lecture,12:30 pm - 1:20 pm,Class,OLS 45400,002,OLS,Gender And Diversity In Management
13994,Upper Division,3.000,16803,Graduate|Professional|Undergraduate,R,Carolyn D Roper,Krannert Building G004,Lecture,12:00 pm - 1:15 pm,Class,OLS 47700,001,OLS,Conflict Management
13995,Upper Division,0.000,23816,Graduate|Professional|Undergraduate,,Carolyn D Roper,,Distance Learning,,Class,OLS 47700,002,OLS,Conflict Management
13996,Upper Division,3.000,16808,Graduate|Professional|Undergraduate,W,Brett A Crawford,Jerry S Rawls Hall 2077,Lecture,5:30 pm - 8:20 pm,Class,OLS 48700,001,OLS,Leadership Philosophy
13997,Credit By Exam|Dept Credit|Internship|Upper Division,3.000,22133,Graduate|Professional|Undergraduate,,Michael James Reckowsky,,Experiential,,Class,OLS 49100,001,OLS,Internship Program
13998,Upper Division|Variable Title,3.000,23360,Graduate|Professional|Undergraduate,W,Brett A Crawford,Knoy Hall of Technology B029,Lecture,2:30 pm - 5:20 pm,Class,OLS 58100,006,OLS,"Leadership,Power & Influence"
13999,Upper Division|Variable Title,0.000,25110,Graduate|Professional|Undergraduate,,Gloria H Umberger,,Individual Study,,Class,OLS 59000,001,OLS,Individual Research Problems In Supervision And Personnel
14000,Upper Division|Variable Title,0.000,25111,Graduate|Professional|Undergraduate,,,,Individual Study,,Class,OLS 59000,002,OLS,Individual Research Problems In Supervision And Personnel
14001,Upper Division|Variable Title,0.000,25112,Graduate|Professional|Undergraduate,,Scott R Bartholomew,,Individual Study,,Class,OLS 59000,003,OLS,Individual Research Problems In Supervision And Personnel
14002,Upper Division|Variable Title,0.000,34918,Graduate|Professional|Undergraduate,,,,Individual Study,,Class,OLS 59000,004,OLS,Individual Research Problems In Supervision And Personnel
14003,Upper Division|Variable Title,0.000,39990,Graduate|Professional|Undergraduate,,,,Individual Study,,Class,OLS 59000,005,OLS,Individual Research Problems In Supervision And Personnel
14004,Upper Division,1.000,25113,Graduate|Professional|Undergraduate,,,,Research,,Class,OLS 59800,001,OLS,Directed MS Project
14005,Upper Division,1.000,25114,Graduate|Professional|Undergraduate,,,,Research,,Class,OLS 59800,002,OLS,Directed MS Project
14006,Upper Division,1.000,40046,Graduate|Professional|Undergraduate,,Gloria H Umberger,,Research,,Class,OLS 59800,005,OLS,Directed MS Project
14007,Upper Division,1.000,45047,Graduate|Professional|Undergraduate,,,,Research,,Class,OLS 59800,008,OLS,Directed MS Project
14008,Upper Division,1.000,24394,Graduate|Professional|Undergraduate,,,,Research,,Class,OLS 59800,009,OLS,Directed MS Project
14009,Upper Division,1.000,24395,Graduate|Professional|Undergraduate,,,,Research,,Class,OLS 59800,010,OLS,Directed MS Project
14010,Upper Division,1.000,24396,Graduate|Professional|Undergraduate,,,,Research,,Class,OLS 59800,011,OLS,Directed MS Project
14011,Upper Division,1.000,24397,Graduate|Professional|Undergraduate,,,,Research,,Class,OLS 59800,012,OLS,Directed MS Project
14012,Upper Division,1.000,24404,Graduate|Professional|Undergraduate,,,,Research,,Class,OLS 59800,013,OLS,Directed MS Project
14013,Upper Division,1.000,24405,Graduate|Professional|Undergraduate,,,,Research,,Class,OLS 59800,014,OLS,Directed MS Project
14014,,1.000,25117,Graduate|Professional|Undergraduate,,Mesut Akdere,,Research,,Class,OLS 69800,001,OLS,Research MS Thesis
14015,,1.000,25118,Graduate|Professional|Undergraduate,,Paul A Asunda,,Research,,Class,OLS 69800,002,OLS,Research MS Thesis
14016,,1.000,45058,Graduate|Professional|Undergraduate,,Greg J Strimel,,Research,,Class,OLS 69800,005,OLS,Research MS Thesis
14017,,1.000,55591,Graduate|Professional|Undergraduate,,Scott R Bartholomew,,Research,,Class,OLS 69800,006,OLS,Research MS Thesis
14018,,1.000,24388,Graduate|Professional|Undergraduate,,Sabine Brunswicker,,Research,,Class,OLS 69800,007,OLS,Research MS Thesis
14019,,1.000,24389,Graduate|Professional|Undergraduate,,,,Research,,Class,OLS 69800,008,OLS,Research MS Thesis
14020,,1.000,24390,Graduate|Professional|Undergraduate,,,,Research,,Class,OLS 69800,009,OLS,Research MS Thesis
14021,,1.000,24391,Graduate|Professional|Undergraduate,,,,Research,,Class,OLS 69800,010,OLS,Research MS Thesis
14022,,1.000,24392,Graduate|Professional|Undergraduate,,,,Research,,Class,OLS 69800,011,OLS,Research MS Thesis
14023,,1.000,24393,Graduate|Professional|Undergraduate,,,,Research,,Class,OLS 69800,012,OLS,Research MS Thesis
14024,Lower Division,2.000,15791,Graduate|Professional|Undergraduate,F,Paige A Thompson,Lambert Field House & Gym 105,Lecture,7:30 am - 8:20 am,Class,PES 11100,001,PES,Lifetime Fitness
14025,Lower Division,0.000,15783,Graduate|Professional|Undergraduate,MW,Paige A Thompson,Lambert Field House & Gym 210,Laboratory,8:30 am - 9:20 am,Class,PES 11100,002,PES,Lifetime Fitness
14026,Lower Division,2.000,15794,Graduate|Professional|Undergraduate,F,Paige A Thompson,Lambert Field House & Gym 105,Lecture,8:30 am - 9:20 am,Class,PES 11100,003,PES,Lifetime Fitness
14027,Lower Division,0.000,15796,Graduate|Professional|Undergraduate,MW,Paige A Thompson,Lambert Field House & Gym 210,Laboratory,7:30 am - 8:20 am,Class,PES 11100,004,PES,Lifetime Fitness
14028,Lower Division,2.000,20333,Graduate|Professional|Undergraduate,,William T Felix,,Distance Learning,,Class,PES 11100,005,PES,Lifetime Fitness
14029,Lower Division,2.000,22139,Graduate|Professional|Undergraduate,,William T Felix,,Distance Learning,,Class,PES 11100,006,PES,Lifetime Fitness
14030,Lower Division,2.000,23445,Graduate|Professional|Undergraduate,,Lucas James Rooney,,Distance Learning,,Class,PES 11100,007,PES,Lifetime Fitness
14031,Lower Division,2.000,23448,Graduate|Professional|Undergraduate,,Justin D Borowitz,,Distance Learning,,Class,PES 11100,008,PES,Lifetime Fitness
14032,Lower Division|Variable Title,1.000,25134,Graduate|Professional|Undergraduate,TWR,Joshua D Eherenman|Jeffrey A Grahn|Mario M Long|Jason P Mccormick,Lambert Field House & Gym F101,Laboratory,6:00 am - 6:50 am,Class,PES 11400,008,PES,Army ROTC Conditioning
14033,Lower Division|Variable Title,1.000,59453,Graduate|Professional|Undergraduate,MWF,Christopher James Miko,Lambert Field House & Gym F101,Laboratory,6:20 am - 7:10 am,Class,PES 11400,014,PES,AFROTC Conditioning
14034,Lower Division|Variable Title,1.000,11979,Graduate|Professional|Undergraduate,WF,Cassandra A Ledman,Lambert Field House & Gym B005,Laboratory,8:30 am - 9:20 am,Class,PES 11400,016,PES,Exercise & Fitness
14035,Lower Division|Variable Title,1.000,25138,Graduate|Professional|Undergraduate,MWF,Douglas Laird Wiedman,Purdue Memorial Union B012,Laboratory,2:30 pm - 3:20 pm,Class,PES 11500,002,PES,Bowling
14036,Lower Division|Variable Title,1.000,25139,Graduate|Professional|Undergraduate,MWF,Douglas Laird Wiedman,Purdue Memorial Union B012,Laboratory,3:30 pm - 4:20 pm,Class,PES 11500,003,PES,Bowling
14037,Lower Division|Variable Title,1.000,25140,Graduate|Professional|Undergraduate,TR,Douglas Laird Wiedman,Purdue Memorial Union B012,Laboratory,3:00 pm - 4:15 pm,Class,PES 11500,004,PES,Bowling
14038,Lower Division|Variable Title,1.000,25141,Graduate|Professional|Undergraduate,MWF,Douglas Laird Wiedman,Purdue Memorial Union B012,Laboratory,12:30 pm - 1:20 pm,Class,PES 11500,005,PES,Bowling
14039,Lower Division|Variable Title,1.000,25142,Graduate|Professional|Undergraduate,TR,Douglas Laird Wiedman,Purdue Memorial Union B012,Laboratory,1:30 pm - 2:45 pm,Class,PES 11500,006,PES,Bowling
14040,Lower Division|Variable Title,1.000,25143,Graduate|Professional|Undergraduate,MWF,Douglas Laird Wiedman,Purdue Memorial Union B012,Laboratory,10:30 am - 11:20 am,Class,PES 11500,007,PES,Bowling
14041,Lower Division|Variable Title,1.000,25144,Graduate|Professional|Undergraduate,TR,Douglas Laird Wiedman,Purdue Memorial Union B012,Laboratory,12:00 pm - 1:15 pm,Class,PES 11500,008,PES,Bowling
14042,Lower Division|Variable Title,1.000,25145,Graduate|Professional|Undergraduate,TR,Douglas Laird Wiedman,Purdue Memorial Union B012,Laboratory,10:30 am - 11:45 am,Class,PES 11500,009,PES,Bowling
14043,Lower Division|Variable Title,1.000,25146,Graduate|Professional|Undergraduate,MWF,Douglas Laird Wiedman,Purdue Memorial Union B012,Laboratory,11:30 am - 12:20 pm,Class,PES 11500,010,PES,Bowling
14044,Lower Division|Variable Title,1.000,36476,Graduate|Professional|Undergraduate,MWF,Douglas Laird Wiedman,Purdue Memorial Union B012,Laboratory,1:30 pm - 2:20 pm,Class,PES 11500,011,PES,Bowling
14045,Lower Division|Variable Title,1.000,25162,Graduate|Professional|Undergraduate,M,Daniel M Ross,Tom Spurgeon Golf Training Ctr 107,Laboratory,7:30 am - 8:45 am,Class,PES 11600,016,PES,Golf
14046,Lower Division|Variable Title,0.000,25163,Graduate|Professional|Undergraduate,,Daniel M Ross,,Individual Study,,Class,PES 11600,017,PES,Golf
14047,Lower Division|Variable Title,1.000,25165,Graduate|Professional|Undergraduate,TR,Joseph M Braden,Schwartz Tennis Center 121,Laboratory,11:30 am - 12:45 pm,Class,PES 11600,019,PES,Beginning Tennis
14048,Lower Division|Variable Title,1.000,25166,Graduate|Professional|Undergraduate,MWF,Joseph M Braden,Schwartz Tennis Center 121,Laboratory,7:30 am - 8:20 am,Class,PES 11600,020,PES,Beginning Tennis
14049,Lower Division|Variable Title,1.000,25169,Graduate|Professional|Undergraduate,TR,Joseph M Braden,Schwartz Tennis Center 121,Laboratory,7:30 am - 8:45 am,Class,PES 11600,023,PES,Intermediate Tennis
14050,Lower Division|Variable Title,1.000,38215,Graduate|Professional|Undergraduate,MW,Joseph M Braden,Schwartz Tennis Center 121,Laboratory,11:30 am - 12:45 pm,Class,PES 11600,025,PES,Advanced Tennis
14051,Lower Division|Variable Title,0.000,47678,Graduate|Professional|Undergraduate,MW,Daniel M Ross,Off Campus TRVLTIME,Travel Time,9:00 am - 9:20 am,Class,PES 11600,026,PES,Golf
14052,Lower Division|Variable Title,1.000,59071,Graduate|Professional|Undergraduate,MWF,Joseph M Braden,Schwartz Tennis Center 121,Laboratory,8:30 am - 9:20 am,Class,PES 11600,032,PES,Intermediate Tennis
14053,Lower Division|Variable Title,1.000,62784,Graduate|Professional|Undergraduate,M,Daniel M Ross,Tom Spurgeon Golf Training Ctr 107,Laboratory,9:30 am - 10:45 am,Class,PES 11600,033,PES,Golf
14054,Lower Division|Variable Title,0.000,62785,Graduate|Professional|Undergraduate,,Daniel M Ross,,Individual Study,,Class,PES 11600,034,PES,Golf
14055,Lower Division|Variable Title,0.000,62786,Graduate|Professional|Undergraduate,MW,Daniel M Ross,Off Campus TRVLTIME,Travel Time,9:00 am - 9:20 am,Class,PES 11600,035,PES,Golf
14056,Lower Division|Variable Title,0.000,62787,Graduate|Professional|Undergraduate,MW,Daniel M Ross,Off Campus TRVLTIME,Travel Time,11:00 am - 11:20 am,Class,PES 11600,036,PES,Golf
14057,Lower Division|Variable Title,0.000,62788,Graduate|Professional|Undergraduate,,Daniel M Ross,,Individual Study,,Class,PES 11600,037,PES,Golf
14058,Lower Division|Variable Title,1.000,62789,Graduate|Professional|Undergraduate,M,Daniel M Ross,Tom Spurgeon Golf Training Ctr 107,Laboratory,11:30 am - 12:45 pm,Class,PES 11600,038,PES,Golf
14059,Lower Division|Variable Title,0.000,62790,Graduate|Professional|Undergraduate,TR,Daniel M Ross,Off Campus TRVLTIME,Travel Time,9:00 am - 9:20 am,Class,PES 11600,039,PES,Golf
14060,Lower Division|Variable Title,0.000,62791,Graduate|Professional|Undergraduate,,Daniel M Ross,,Individual Study,,Class,PES 11600,040,PES,Golf
14061,Lower Division|Variable Title,1.000,62792,Graduate|Professional|Undergraduate,T,Daniel M Ross,Tom Spurgeon Golf Training Ctr 107,Laboratory,9:30 am - 10:45 am,Class,PES 11600,041,PES,Golf
14062,Lower Division|Variable Title,0.000,62793,Graduate|Professional|Undergraduate,,Daniel M Ross,,Individual Study,,Class,PES 11600,042,PES,Golf
14063,Lower Division|Variable Title,0.000,62794,Graduate|Professional|Undergraduate,TR,Daniel M Ross,Off Campus TRVLTIME,Travel Time,11:00 am - 11:20 am,Class,PES 11600,043,PES,Golf
14064,Lower Division|Variable Title,1.000,62795,Graduate|Professional|Undergraduate,T,Daniel M Ross,Tom Spurgeon Golf Training Ctr 107,Laboratory,11:30 am - 12:45 pm,Class,PES 11600,044,PES,Golf
14065,Lower Division|Variable Title,1.000,62796,Graduate|Professional|Undergraduate,T,Daniel M Ross,Tom Spurgeon Golf Training Ctr 107,Laboratory,1:30 pm - 2:45 pm,Class,PES 11600,045,PES,Golf
14066,Lower Division|Variable Title,0.000,62797,Graduate|Professional|Undergraduate,TR,Daniel M Ross,Off Campus TRVLTIME,Travel Time,1:00 pm - 1:20 pm,Class,PES 11600,046,PES,Golf
14067,Lower Division|Variable Title,0.000,62798,Graduate|Professional|Undergraduate,,Daniel M Ross,,Individual Study,,Class,PES 11600,047,PES,Golf
14068,Lower Division|Variable Title,0.000,22332,Graduate|Professional|Undergraduate,,Daniel M Ross,,Individual Study,,Class,PES 11600,048,PES,Golf
14069,Lower Division|Variable Title,0.000,22333,Graduate|Professional|Undergraduate,TR,Daniel M Ross,Off Campus TRVLTIME,Travel Time,7:00 am - 7:20 am,Class,PES 11600,049,PES,Golf
14070,Lower Division|Variable Title,1.000,22334,Graduate|Professional|Undergraduate,T,Daniel M Ross,Tom Spurgeon Golf Training Ctr 107,Laboratory,7:30 am - 8:45 am,Class,PES 11600,050,PES,Golf
14071,Lower Division|Variable Title,1.000,11490,Graduate|Professional|Undergraduate,T,Daniel M Ross,Tom Spurgeon Golf Training Ctr 107,Laboratory,5:30 pm - 6:45 pm,Class,PES 11600,051,PES,Golf
14072,Lower Division|Variable Title,0.000,11494,Graduate|Professional|Undergraduate,,Daniel M Ross,,Individual Study,,Class,PES 11600,052,PES,Golf
14073,Lower Division|Variable Title,0.000,11495,Graduate|Professional|Undergraduate,TR,Daniel M Ross,Off Campus SITE,Travel Time,5:00 pm - 5:20 pm,Class,PES 11600,053,PES,Golf
14074,Lower Division,1.000,21966,Graduate|Professional|Undergraduate,TR,Daniel M Ross,Off Campus GOLFCRS,Laboratory,3:30 pm - 5:00 pm,Class,PES 14600,001,PES,Advanced Golf Applications
14075,Lower Division,0.000,21967,Graduate|Professional|Undergraduate,TR,Daniel M Ross,Off Campus TRVLTIME,Travel Time,3:00 pm - 3:20 pm,Class,PES 14600,002,PES,Advanced Golf Applications
14076,Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,0.000,15942,Graduate|Professional|Undergraduate,TR,Daniel R Kelly,Neil Armstrong Hall of Engr 1010,Lecture,1:30 pm - 2:20 pm,Class,PHIL 11000,034,PHIL,The Big Questions: Introduction to Philosophy
14077,Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,15943,Graduate|Professional|Undergraduate,W,Samantha L Seybold,Beering Hall of Lib Arts & Ed B268,Recitation,9:30 am - 10:20 am,Class,PHIL 11000,035,PHIL,The Big Questions: Introduction to Philosophy
14078,Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,15954,Graduate|Professional|Undergraduate,MWF,Aaron Michael Novick,Beering Hall of Lib Arts & Ed 1230,Lecture,10:30 am - 11:20 am,Class,PHIL 11000,037,PHIL,The Big Questions: Introduction to Philosophy
14079,Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,15957,Graduate|Professional|Undergraduate,TR,Jan A Cover,Beering Hall of Lib Arts & Ed 1268,Lecture,9:00 am - 10:15 am,Class,PHIL 11000,038,PHIL,The Big Questions: Introduction to Philosophy
14080,Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,15958,Graduate|Professional|Undergraduate,TR,Michael Abram Bergmann,Beering Hall of Lib Arts & Ed 1268,Lecture,1:30 pm - 2:45 pm,Class,PHIL 11000,039,PHIL,The Big Questions: Introduction to Philosophy
14081,Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,15960,Graduate|Professional|Undergraduate,W,Samantha L Seybold,Beering Hall of Lib Arts & Ed B268,Recitation,10:30 am - 11:20 am,Class,PHIL 11000,041,PHIL,The Big Questions: Introduction to Philosophy
14082,Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,15961,Graduate|Professional|Undergraduate,W,Brian P Hoburg,Beering Hall of Lib Arts & Ed B268,Recitation,11:30 am - 12:20 pm,Class,PHIL 11000,042,PHIL,The Big Questions: Introduction to Philosophy
14083,Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,15962,Graduate|Professional|Undergraduate,W,Brian P Hoburg,Beering Hall of Lib Arts & Ed B268,Recitation,12:30 pm - 1:20 pm,Class,PHIL 11000,043,PHIL,The Big Questions: Introduction to Philosophy
14084,Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,15964,Graduate|Professional|Undergraduate,W,Samantha L Seybold,Beering Hall of Lib Arts & Ed B268,Recitation,1:30 pm - 2:20 pm,Class,PHIL 11000,044,PHIL,The Big Questions: Introduction to Philosophy
14085,Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,15965,Graduate|Professional|Undergraduate,W,Brian P Hoburg,Beering Hall of Lib Arts & Ed B268,Recitation,2:30 pm - 3:20 pm,Class,PHIL 11000,045,PHIL,The Big Questions: Introduction to Philosophy
14086,Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,15846,Graduate|Professional|Undergraduate,TR,Rodney J Bertolet,Beering Hall of Lib Arts & Ed 1248,Lecture,3:00 pm - 4:15 pm,Class,PHIL 11000,H01,PHIL,Intro To Philosophy-Honors
14087,Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,57098,Graduate|Professional|Undergraduate,,Vincent D Jacobson,,Distance Learning,,Class,PHIL 11000,Y01,PHIL,The Big Questions: Introduction to Philosophy
14088,Credit By Exam|Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,12003,Graduate|Professional|Undergraduate,TR,Patrick Paul Kain,Brown Laboratory of Chemistry 1154,Lecture,10:30 am - 11:20 am,Class,PHIL 11100,001,PHIL,Introduction To Ethics
14089,Credit By Exam|Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,19945,Graduate|Professional|Undergraduate,MWF,Berman Konn hwing Chan,Beering Hall of Lib Arts & Ed 1268,Lecture,8:30 am - 9:20 am,Class,PHIL 11100,005,PHIL,Introduction To Ethics
14090,Credit By Exam|Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,19981,Graduate|Professional|Undergraduate,MWF,Sarah Dewitt Lucas,Beering Hall of Lib Arts & Ed 1268,Lecture,10:30 am - 11:20 am,Class,PHIL 11100,007,PHIL,Introduction To Ethics
14091,Credit By Exam|Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,19982,Graduate|Professional|Undergraduate,MWF,Keunchang Oh,Beering Hall of Lib Arts & Ed 1268,Lecture,1:30 pm - 2:20 pm,Class,PHIL 11100,008,PHIL,Introduction To Ethics
14092,Credit By Exam|Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,19983,Graduate|Professional|Undergraduate,TR,Leonard Harris,Beering Hall of Lib Arts & Ed 1268,Lecture,7:30 am - 8:45 am,Class,PHIL 11100,009,PHIL,Introduction To Ethics
14093,Credit By Exam|Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,0.000,20024,Graduate|Professional|Undergraduate,M,Duncan R Cordry,Beering Hall of Lib Arts & Ed B268,Recitation,10:30 am - 11:20 am,Class,PHIL 11100,011,PHIL,Introduction To Ethics
14094,Credit By Exam|Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,0.000,20025,Graduate|Professional|Undergraduate,M,Duncan R Cordry,Beering Hall of Lib Arts & Ed B268,Recitation,11:30 am - 12:20 pm,Class,PHIL 11100,012,PHIL,Introduction To Ethics
14095,Credit By Exam|Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,0.000,20035,Graduate|Professional|Undergraduate,M,Duncan R Cordry,Beering Hall of Lib Arts & Ed B268,Recitation,1:30 pm - 2:20 pm,Class,PHIL 11100,013,PHIL,Introduction To Ethics
14096,Credit By Exam|Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,57099,Graduate|Professional|Undergraduate,,Vincent D Jacobson,,Distance Learning,,Class,PHIL 11100,Y01,PHIL,Introduction To Ethics
14097,Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,54086,Graduate|Professional|Undergraduate,MWF,Troy D Seagraves,Beering Hall of Lib Arts & Ed 1230,Lecture,9:30 am - 10:20 am,Class,PHIL 11400,001,PHIL,Global Moral Issues
14098,Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,58631,Graduate|Professional|Undergraduate,MWF,Luke W Wilson,Beering Hall of Lib Arts & Ed 1268,Lecture,2:30 pm - 3:20 pm,Class,PHIL 11400,003,PHIL,Global Moral Issues
14099,Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,15850,Graduate|Professional|Undergraduate,MWF,Brian D Eckley,Beering Hall of Lib Arts & Ed 1268,Lecture,3:30 pm - 4:20 pm,Class,PHIL 11400,004,PHIL,Global Moral Issues
14100,Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,58320,Graduate|Professional|Undergraduate,,Matthew A Fritz,,Distance Learning,,Class,PHIL 11400,Y01,PHIL,Global Moral Issues
14101,Credit By Exam|Lower Division|GTC-Quantitative Reasoning|UC-Quantitative Reasoning,3.000,63152,Graduate|Professional|Undergraduate,TR,Dana Tulodziecki,Beering Hall of Lib Arts & Ed 1268,Lecture,4:30 pm - 5:45 pm,Class,PHIL 15000,003,PHIL,Principles Of Logic
14102,Credit By Exam|Lower Division|GTC-Quantitative Reasoning|UC-Quantitative Reasoning,3.000,68228,Graduate|Professional|Undergraduate,TR,Dana Tulodziecki,Beering Hall of Lib Arts & Ed 1268,Lecture,3:00 pm - 4:15 pm,Class,PHIL 15000,004,PHIL,Principles Of Logic
14103,Credit By Exam|Core Transfer Library|Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,14676,Graduate|Indiana College Network|Professional|Undergraduate,TR,Paul R Draper,Beering Hall of Lib Arts & Ed 1268,Lecture,12:00 pm - 1:15 pm,Class,PHIL 20600,001,PHIL,Introduction To Philosophy Of Religion
14104,Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,15066,Graduate|Professional|Undergraduate,MWF,Stephen Andrew Setman,Beering Hall of Lib Arts & Ed 1230,Lecture,11:30 am - 12:20 pm,Class,PHIL 21900,001,PHIL,Philosophy And The Meaning Of Life
14105,Lower Division|S General Education|GTC-Science|Tech & Society|UC-Science|Tech & Society,3.000,16099,Graduate|Professional|Undergraduate,MWF,Aaron Michael Novick,Beering Hall of Lib Arts & Ed 1230,Lecture,1:30 pm - 2:20 pm,Class,PHIL 22100,001,PHIL,Introduction To Philosophy Of Science
14106,Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,25259,Graduate|Professional|Undergraduate,MWF,Alzbeta Hajkova,Beering Hall of Lib Arts & Ed 1230,Lecture,12:30 pm - 1:20 pm,Class,PHIL 22500,001,PHIL,Philosophy And Gender
14107,Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,20637,Graduate|Professional|Undergraduate,MWF,Thomas W Ryba,Beering Hall of Lib Arts & Ed 1260,Lecture,12:30 pm - 1:20 pm,Class,PHIL 23000,001,PHIL,Religions Of The East
14108,Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,68741,Graduate|Professional|Undergraduate,MWF,Thomas W Ryba,Beering Hall of Lib Arts & Ed 1268,Lecture,11:30 am - 12:20 pm,Class,PHIL 23100,001,PHIL,Religions Of The West
14109,Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,15852,Graduate|Professional|Undergraduate,MWF,Mark H Bernstein,Beering Hall of Lib Arts & Ed 1230,Lecture,2:30 pm - 3:20 pm,Class,PHIL 24000,001,PHIL,Social And Political Philosophy
14110,Lower Division|S General Education|GTC-Humanistic-Artistic|UC-Humanities,3.000,15857,Graduate|Professional|Undergraduate,TR,Leonard Harris,Beering Hall of Lib Arts & Ed 1230,Lecture,9:00 am - 10:15 am,Class,PHIL 24200,001,PHIL,"Philosophy, Culture, And The African American Experience"
14111,LA Social Ethics|Lower Division|S General Education|GTC-Written Communication|GTC-Information Literacy|UC-Written Communication|UC-Information Literacy,3.000,11694,Graduate|Professional|Undergraduate,TR,Lynn Parrish,Physics Building 114,Lecture,3:30 pm - 4:20 pm,Class,PHIL 26000,004,PHIL,Philosophy And Law
14112,LA Social Ethics|Lower Division|S General Education|GTC-Written Communication|GTC-Information Literacy|UC-Written Communication|UC-Information Literacy,0.000,11822,Graduate|Professional|Undergraduate,F,Perry C Hendricks,Beering Hall of Lib Arts & Ed B268,Recitation,9:30 am - 10:20 am,Class,PHIL 26000,005,PHIL,Philosophy And Law
14113,LA Social Ethics|Lower Division|S General Education|GTC-Written Communication|GTC-Information Literacy|UC-Written Communication|UC-Information Literacy,0.000,11874,Graduate|Professional|Undergraduate,F,Perry C Hendricks,Beering Hall of Lib Arts & Ed B268,Recitation,10:30 am - 11:20 am,Class,PHIL 26000,006,PHIL,Philosophy And Law
14114,LA Social Ethics|Lower Division|S General Education|GTC-Written Communication|GTC-Information Literacy|UC-Written Communication|UC-Information Literacy,0.000,14914,Graduate|Professional|Undergraduate,F,David L Harmon,Beering Hall of Lib Arts & Ed B268,Recitation,11:30 am - 12:20 pm,Class,PHIL 26000,007,PHIL,Philosophy And Law
14115,LA Social Ethics|Lower Division|S General Education|GTC-Written Communication|GTC-Information Literacy|UC-Written Communication|UC-Information Literacy,0.000,23372,Graduate|Professional|Undergraduate,F,Perry C Hendricks,Beering Hall of Lib Arts & Ed B268,Recitation,12:30 pm - 1:20 pm,Class,PHIL 26000,008,PHIL,Philosophy And Law
14116,LA Social Ethics|Lower Division|S General Education|GTC-Written Communication|GTC-Information Literacy|UC-Written Communication|UC-Information Literacy,0.000,23373,Graduate|Professional|Undergraduate,F,David L Harmon,Beering Hall of Lib Arts & Ed B268,Recitation,1:30 pm - 2:20 pm,Class,PHIL 26000,009,PHIL,Philosophy And Law
